date,firm,n,sd,source,con,green,lab,ld,ukip,snp
2014-01-02,"Opinium/The Observer",1939,0.021,NA,30,3,37,8,17,
2014-01-03,"Survation/Mail on Sunday",1001,0.03,NA,31,2,35,11,16,
2014-01-06,"YouGov/The Sun",1729,0.023,NA,32,2,40,9,12,
2014-01-07,"YouGov/The Sun",1972,0.021,NA,32,3,37,10,14,
2014-01-08,"YouGov/The Sun",1958,0.021,NA,32,3,38,9,13,
2014-01-09,"YouGov/The Sun",1887,0.022,NA,32,2,38,9,13,
2014-01-09,Populus,2012,0.021,NA,33,3,40,11,8,
2014-01-10,"YouGov/Sunday Times",1904,0.022,NA,31,2,40,9,14,
2014-01-11,Populus,2079,0.021,NA,33,3,38,12,9,
2014-01-12,"ICM/The Guardian",1005,0.029,NA,32,3,35,14,10,
2014-01-13,"YouGov/The Sun",1762,0.023,NA,33,2,38,11,12,
2014-01-14,"YouGov/The Sun",2000,0.021,NA,34,2,37,9,13,
2014-01-14,"Ipsos MORI/Evening Standard",1035,0.03,NA,30,3,39,13,11,
2014-01-15,"YouGov/The Sun",1893,0.022,NA,33,2,39,10,12,
2014-01-15,"Survation/Sky News",1005,0.029,NA,30,2,34,12,18,
2014-01-16,"YouGov/The Sun",1981,0.021,NA,32,2,39,10,12,
2014-01-16,Populus,2039,0.021,NA,33,2,40,13,9,
2014-01-16,"Opinium/The Observer",1930,0.021,NA,30,3,36,8,17,
2014-01-16,"ComRes/Sunday Mirror/Independent",2029,0.021,NA,30,3,35,8,19,
2014-01-17,"YouGov/Sunday Times",1957,0.022,NA,33,2,39,8,13,
2014-01-19,Populus,2027,0.021,NA,32,3,39,12,9,
2014-01-20,"YouGov/The Sun",1682,0.023,NA,32,2,40,11,12,
2014-01-20,"Lord Ashcroft",20058,0.007,NA,30,3,38,8,16,
2014-01-21,"YouGov/The Sun",1961,0.021,NA,34,3,38,9,13,
2014-01-22,"YouGov/The Sun",1843,0.022,NA,32,3,40,8,12,
2014-01-23,"YouGov/The Sun",1840,0.022,NA,35,2,38,8,12,
2014-01-23,Populus,2051,0.021,NA,32,3,40,11,9,
2014-01-24,"YouGov/Sunday Times",1859,0.022,NA,32,2,39,9,13,
2014-01-26,Populus,2052,0.021,NA,33,3,40,11,8,
2014-01-26,ComRes/Independent,1002,0.029,NA,32,5,33,9,14,
2014-01-27,"YouGov/The Sun",1381,0.025,NA,35,2,37,9,13,
2014-01-28,"YouGov/The Sun",1814,0.022,NA,34,3,37,9,12,
2014-01-29,"YouGov/The Sun",1884,0.022,NA,35,2,38,10,11,
2014-01-30,"YouGov/The Sun",1942,0.022,NA,32,2,42,8,12,
2014-01-30,Populus,2044,0.021,NA,32,3,39,11,10,
2014-01-31,"YouGov/Sunday Times",1885,0.022,NA,34,3,39,8,11,
2014-01-31,"Opinium/The Observer",1972,0.021,NA,29,3,36,8,17,
2014-02-02,Populus,2043,0.021,NA,32,3,41,11,9,
2014-02-03,"YouGov/The Sun",1741,0.023,NA,33,1,38,11,11,
2014-02-03,"Ipsos MORI/Evening Standard",1012,0.03,NA,31,3,38,12,10,
2014-02-04,"YouGov/The Sun",1942,0.022,NA,33,3,39,8,13,
2014-02-05,"YouGov/The Sun",1902,0.022,NA,35,2,39,9,10,
2014-02-06,"YouGov/The Sun",1911,0.022,NA,32,2,38,10,14,
2014-02-06,Populus,2015,0.021,NA,33,2,36,9,15,
2014-02-07,"YouGov/Sunday Times",1521,0.025,NA,35,3,39,10,10,
2014-02-09,Populus,2013,0.021,NA,34,3,36,11,12,
2014-02-09,"ICM/The Guardian",1002,0.03,NA,34,3,38,10,11,
2014-02-10,"YouGov/The Sun",1685,0.023,NA,33,2,39,10,12,
2014-02-11,"YouGov/The Sun",1899,0.022,NA,34,2,39,10,11,
2014-02-12,"YouGov/The Sun",1826,0.022,NA,32,2,39,8,13,
2014-02-13,"YouGov/The Sun",1896,0.022,NA,33,2,39,9,12,
2014-02-13,Populus,2015,0.021,NA,32,3,38,9,14,
2014-02-13,"ComRes/The Independent on Sunday/Sunday Mirror",2031,0.021,NA,32,2,37,9,15,
2014-02-14,"YouGov/Sunday Times",1868,0.022,NA,32,3,39,9,12,
2014-02-14,"Opinium/The Observer",1969,0.021,NA,28,2,37,8,17,
2014-02-16,Populus,2031,0.021,NA,33,3,38,10,13,
2014-02-17,"YouGov/The Sun",1645,0.024,NA,33,2,40,9,11,
2014-02-18,"YouGov/The Sun",1758,0.023,NA,33,3,40,8,12,
2014-02-19,"YouGov/The Sun",1766,0.023,NA,33,3,37,10,12,
2014-02-20,"YouGov/The Sun",1756,0.023,NA,34,2,39,9,12,
2014-02-20,Populus,2066,0.021,NA,32,3,38,9,13,
2014-02-21,"YouGov/Sunday Times",2141,0.021,NA,32,2,39,8,12,
2014-02-23,Populus,2052,0.021,NA,32,2,37,10,15,
2014-02-24,"YouGov/The Sun",1773,0.023,NA,33,2,38,10,13,
2014-02-25,"YouGov/The Sun",1936,0.022,NA,33,3,39,10,11,
2014-02-26,"YouGov/The Sun",2062,0.021,NA,34,3,40,10,11,
2014-02-27,"YouGov/The Sun",1868,0.022,NA,34,3,39,8,12,
2014-02-27,"Populus/Financial Times",14203,0.008,NA,33,3,37,10,14,
2014-02-27,Populus,1131,0.028,NA,33,3,38,9,13,
2014-02-28,"YouGov/Sunday Times",2098,0.021,NA,33,2,38,9,13,
2014-02-28,"Opinium/The Observer",1946,0.021,NA,29,3,34,10,19,
2014-03-02,Populus,2055,0.021,NA,34,3,37,10,12,
2014-03-02,ComRes/Independent,1004,0.03,NA,30,4,38,10,11,
2014-03-03,"YouGov/The Sun",1868,0.022,NA,32,1,41,8,12,
2014-03-04,"YouGov/The Sun",2041,0.021,NA,34,2,38,9,13,
2014-03-05,"YouGov/The Sun",1868,0.022,NA,34,3,37,10,11,
2014-03-06,"YouGov/The Sun",1833,0.022,NA,31,3,40,9,13,
2014-03-06,Populus,2025,0.021,NA,34,3,37,9,12,
2014-03-07,"YouGov/Sunday Times",2029,0.021,NA,32,2,39,10,14,
2014-03-09,Populus,2058,0.021,NA,34,3,38,9,12,
2014-03-10,"YouGov/The Sun",3195,0.017,NA,32,3,39,8,13,
2014-03-11,"YouGov/The Sun",2040,0.021,NA,34,2,38,10,12,
2014-03-11,"ICM/The Guardian",1003,0.03,NA,35,3,38,12,9,
2014-03-12,"YouGov/The Sun",2095,0.021,NA,35,2,37,9,13,
2014-03-12,"Opinium/The Observer",1971,0.021,NA,30,3,35,10,16,
2014-03-12,"Ipsos MORI/Evening Standard",1000,0.03,NA,32,5,35,13,11,
2014-03-13,"YouGov/The Sun",2098,0.021,NA,33,2,38,11,10,
2014-03-13,Populus,2053,0.021,NA,34,2,35,10,13,
2014-03-13,"ComRes/Independent on Sunday/Sunday Mirror",2001,0.021,NA,32,3,35,9,16,
2014-03-14,"YouGov/Sunday Times",1946,0.022,NA,33,2,40,8,12,
2014-03-16,Populus,2053,0.021,NA,32,3,36,10,13,
2014-03-17,"YouGov/The Sun",1919,0.022,NA,32,3,40,9,11,
2014-03-18,"YouGov/The Sun",2284,0.02,NA,34,3,38,11,11,
2014-03-19,"YouGov/The Sun",2088,0.021,NA,33,3,38,11,11,
2014-03-20,"YouGov/The Sun",1904,0.022,NA,34,2,39,10,10,
2014-03-20,Populus,2122,0.021,NA,34,2,38,9,12,
2014-03-21,"YouGov/Sunday Times",2103,0.021,NA,36,2,37,9,11,
2014-03-21,"Survation/Mail on Sunday",1000,0.03,NA,34,2,35,9,15,
2014-03-23,Populus,2039,0.021,NA,34,2,35,10,13,
2014-03-23,ComRes/Independent,1024,0.029,NA,31,5,36,9,11,
2014-03-24,"YouGov/The Sun",1558,0.024,NA,36,2,38,10,10,
2014-03-25,"YouGov/The Sun",1958,0.021,NA,35,2,38,10,10,
2014-03-26,"YouGov/The Sun",2070,0.021,NA,35,2,37,9,11,
2014-03-27,"YouGov/The Sun",2039,0.021,NA,35,3,36,10,11,
2014-03-28,"YouGov/Sunday Times",1916,0.022,NA,33,2,40,9,11,
2014-03-28,Populus,2066,0.021,NA,35,3,37,8,12,
2014-03-28,"Opinium/The Observer",1936,0.021,NA,32,3,33,10,15,
2014-03-30,"Populus/Financial Times",16424,0.007,NA,34,3,37,9,12,
2014-03-30,Populus,2008,0.021,NA,34,3,37,10,11,
2014-03-31,"YouGov/The Sun",1696,0.023,NA,34,2,37,11,13,
2014-04-01,"YouGov/The Sun",1981,0.021,NA,33,2,37,10,12,
2014-04-02,"YouGov/The Sun",2148,0.021,NA,32,2,38,10,13,
2014-04-03,"YouGov/The Sun",2076,0.021,NA,32,3,38,10,13,
2014-04-03,Populus,2067,0.021,NA,33,2,37,10,13,
2014-04-04,"YouGov/Sunday Times",1998,0.021,NA,34,2,39,9,12,
2014-04-04,"Survation/Mail on Sunday",1001,0.03,NA,29,2,36,10,20,
2014-04-06,Populus,2034,0.021,NA,34,3,37,9,14,
2014-04-07,"YouGov/The Sun",1748,0.023,NA,33,2,36,10,14,
2014-04-07,"Ipsos MORI/Evening Standard",1002,0.03,NA,31,3,37,9,15,
2014-04-08,"YouGov/The Sun",2144,0.02,NA,33,2,37,10,13,
2014-04-09,"YouGov/The Sun",2061,0.021,NA,33,2,36,10,14,
2014-04-10,"YouGov/The Sun",2111,0.021,NA,32,2,38,8,14,
2014-04-10,Populus,2051,0.021,NA,34,2,35,11,12,
2014-04-10,"Opinium/The Observer",1972,0.021,NA,30,3,36,7,18,
2014-04-10,"ComRes/Independent on Sunday, Sunday Mirror",2003,0.021,NA,29,4,35,7,20,
2014-04-11,"YouGov/Sunday Times",2036,0.021,NA,32,2,38,8,14,
2014-04-13,Populus,2011,0.021,NA,33,2,35,11,13,
2014-04-13,"ICM/The Guardian",1000,0.03,NA,32,2,37,12,11,
2014-04-13,"ComRes/The Independent",1000,0.03,NA,30,4,36,9,12,
2014-04-14,"YouGov/The Sun",1541,0.024,NA,33,3,38,9,12,
2014-04-15,"YouGov/The Sun",2162,0.02,NA,34,2,37,10,13,
2014-04-16,"YouGov/The Sun",2166,0.021,NA,33,3,39,9,11,
2014-04-16,Populus,2069,0.021,NA,34,3,35,9,14,
2014-04-17,"YouGov/The Sun",1884,0.022,NA,33,2,35,11,15,
2014-04-21,Populus,2049,0.021,NA,33,3,36,10,13,
2014-04-22,"YouGov/The Sun",2190,0.02,NA,34,2,37,10,12,
2014-04-23,"YouGov/The Sun",2143,0.02,NA,32,2,37,10,15,
2014-04-24,"YouGov/The Sun",2072,0.021,NA,32,4,38,8,14,
2014-04-24,Populus,2055,0.021,NA,35,3,35,9,13,
2014-04-25,"YouGov/Sunday Times",1835,0.022,NA,31,4,36,9,15,
2014-04-25,"Opinium/The Observer",1965,0.021,NA,32,3,34,7,18,
2014-04-27,Populus,2052,0.021,NA,32,3,35,10,15,
2014-04-28,"YouGov/The Sun",1629,0.023,NA,32,2,37,10,15,
2014-04-29,"YouGov/The Sun",1804,0.022,NA,32,3,37,9,14,
2014-04-30,"YouGov/The Sun",1898,0.022,NA,31,3,37,9,15,
2014-05-01,"YouGov/The Sun on Sunday",1844,0.022,NA,33,2,36,10,15,
2014-05-01,"YouGov/The Sun",1813,0.022,NA,33,3,36,10,14,
2014-05-01,"Populus/Financial Times",18448,0.007,NA,34,3,36,10,13,
2014-05-01,Populus,2060,0.021,NA,34,3,35,9,14,
2014-05-02,"YouGov/Sunday Times",1945,0.021,NA,33,4,36,9,15,
2014-05-03,"Survation/Daily Mirror",1005,0.029,NA,33,4,34,8,18,
2014-05-05,Populus,2034,0.021,NA,33,4,36,8,14,
2014-05-06,"YouGov/The Sun",1933,0.021,NA,34,3,35,9,14,
2014-05-07,"YouGov/The Sun",1858,0.022,NA,34,3,37,8,13,
2014-05-08,"YouGov/The Sun",1875,0.022,NA,34,4,35,8,13,
2014-05-08,Populus,2006,0.021,NA,32,4,36,8,16,
2014-05-08,"Opinium/The Observer",1997,0.021,NA,29,4,33,9,20,
2014-05-09,"YouGov/Sunday Times",1905,0.022,NA,31,4,38,9,13,
2014-05-09,"Survation/Mail on Sunday",1005,0.029,NA,28,3,33,10,20,
2014-05-11,Populus,2056,0.021,NA,35,3,36,8,13,
2014-05-11,"Lord Ashcroft",1001,0.029,NA,34,5,32,9,15,
2014-05-11,"ICM/The Guardian",1000,0.029,NA,33,4,31,13,15,
2014-05-12,"YouGov/The Sun",1680,0.023,NA,35,3,36,9,14,
2014-05-12,"Ipsos MORI/Evening Standard",1003,0.029,NA,31,8,34,9,11,
2014-05-13,"YouGov/The Sun",1977,0.021,NA,34,3,34,8,15,
2014-05-14,"YouGov/The Sun",1968,0.021,NA,32,4,35,10,13,
2014-05-15,"YouGov/The Sun",2083,0.021,NA,34,4,36,8,13,
2014-05-15,Populus,2043,0.021,NA,32,3,36,10,13,
2014-05-15,"ComRes/Independent on Sunday, Sunday Mirror",2045,0.02,NA,29,4,33,8,19,
2014-05-16,"YouGov/Sunday Times",1892,0.022,NA,34,4,37,9,13,
2014-05-18,Populus,2026,0.021,NA,35,3,34,8,14,
2014-05-18,"Lord Ashcroft",1006,0.029,NA,29,5,35,9,14,
2014-05-18,ComRes/Independent,1008,0.029,NA,30,5,35,8,14,
2014-05-19,"YouGov/The Sun",1740,0.023,NA,33,6,37,9,11,
2014-05-20,"YouGov/The Sun",1874,0.022,NA,33,3,35,11,13,
2014-05-20,"Survation/Daily Mirror",1106,0.028,NA,28,3,34,9,20,
2014-05-21,"YouGov/The Times, The Sun",6124,0.012,NA,33,4,36,9,13,
2014-05-22,"YouGov/The Sun",1922,0.021,NA,34,5,34,9,14,
2014-05-22,Populus,2045,0.021,NA,34,3,36,9,14,
2014-05-23,"YouGov/Sunday Times",1898,0.021,NA,34,5,35,9,13,
2014-05-23,"Survation/Mail on Sunday",1017,0.029,NA,27,3,32,9,23,
2014-05-23,"Opinium/The Observer",1968,0.021,NA,32,4,33,7,19,
2014-05-25,"Lord Ashcroft",1000,0.029,NA,29,7,31,8,17,
2014-05-26,Populus,2060,0.021,NA,34,3,36,9,14,
2014-05-27,"YouGov/The Sun",2079,0.02,NA,32,5,34,8,15,
2014-05-28,"YouGov/The Sun",2109,0.02,NA,32,5,36,9,14,
2014-05-29,"YouGov/The Sun",2123,0.021,NA,31,4,38,7,16,
2014-05-29,Populus,2010,0.021,NA,34,4,35,9,14,
2014-05-30,"YouGov/Sunday Times",2090,0.021,NA,33,4,36,7,15,
2014-06-01,Populus,2062,0.021,NA,32,3,37,10,13,
2014-06-01,"Lord Ashcroft",1000,0.029,NA,25,7,34,6,19,
2014-06-02,"YouGov/The Sun",1740,0.023,NA,30,5,36,8,17,
2014-06-03,"YouGov/The Sun",1962,0.021,NA,32,5,36,8,14,
2014-06-04,"YouGov/The Sun",1951,0.021,NA,32,5,37,7,13,
2014-06-05,"YouGov/The Sun",2107,0.021,NA,31,5,37,8,15,
2014-06-05,"Opinium/The Observer",1950,0.021,NA,31,4,35,6,19,
2014-06-06,"YouGov/Sunday Times",2134,0.02,NA,33,5,37,7,14,
2014-06-06,Populus,2006,0.021,NA,34,5,35,9,14,
2014-06-08,Populus,2039,0.021,NA,35,3,36,9,14,
2014-06-08,"Lord Ashcroft",1003,0.029,NA,28,7,32,8,17,
2014-06-09,"YouGov/The Sun",1685,0.023,NA,31,5,37,7,15,
2014-06-10,"YouGov/The Sun",1974,0.021,NA,35,3,37,8,12,
2014-06-11,"YouGov/The Sun",2157,0.02,NA,34,5,36,6,14,
2014-06-12,"YouGov/The Sun on Sunday",2337,0.019,NA,33,5,36,8,14,
2014-06-12,"YouGov/The Sun",2183,0.02,NA,32,5,38,8,12,
2014-06-12,"TNS BMRB",1195,0.027,NA,29,7,35,6,23,
2014-06-12,Populus,2051,0.021,NA,32,5,35,8,15,
2014-06-13,"YouGov/Sunday Times",2106,0.021,NA,33,5,37,8,13,
2014-06-13,"ComRes/Independent on Sunday, Sunday Mirror",2034,0.021,NA,32,4,34,7,18,
2014-06-15,Populus,2036,0.021,NA,33,4,37,9,13,
2014-06-15,"Lord Ashcroft",1001,0.03,NA,29,6,35,8,15,
2014-06-15,"ICM/The Guardian",1001,0.029,NA,31,6,32,10,16,
2014-06-16,"YouGov/The Sun",1696,0.023,NA,32,5,36,10,14,
2014-06-17,"YouGov/The Sun",1897,0.022,NA,34,4,37,7,13,
2014-06-17,"Ipsos MORI",1001,0.029,NA,31,8,34,8,14,
2014-06-18,"YouGov/The Sun",2066,0.021,NA,34,5,38,7,13,
2014-06-19,"YouGov/The Sun",2097,0.021,NA,33,3,37,8,15,
2014-06-19,Populus,2032,0.021,NA,34,3,36,8,13,
2014-06-19,"Opinium/The Observer",1946,0.021,NA,31,5,35,7,17,
2014-06-20,"YouGov/Sunday Times",2016,0.021,NA,32,5,38,8,14,
2014-06-22,Populus,2062,0.021,NA,32,3,37,9,13,
2014-06-22,"Lord Ashcroft",1006,0.029,NA,28,7,33,9,17,
2014-06-23,"YouGov/The Sun",1652,0.023,NA,32,4,36,9,15,
2014-06-24,"YouGov/The Sun",1984,0.021,NA,33,4,36,8,15,
2014-06-25,"YouGov/The Sun",2044,0.021,NA,32,5,37,7,14,
2014-06-26,"YouGov/The Sun",1996,0.021,NA,33,4,38,8,13,
2014-06-26,Populus,2021,0.021,NA,34,5,35,8,13,
2014-06-27,"YouGov/Sunday Times",1936,0.022,NA,33,5,37,8,14,
2014-06-27,"Survation/Mail on Sunday",1000,0.03,NA,27,5,36,7,22,
2014-06-29,Populus,2049,0.021,NA,33,4,37,10,12,
2014-06-29,"Lord Ashcroft",1006,0.029,NA,33,6,31,9,15,
2014-06-29,ComRes/Independent,1005,0.029,NA,30,5,32,7,18,
2014-06-30,"YouGov/The Sun",1729,0.023,NA,35,3,37,8,12,
2014-07-01,"YouGov/The Sun",2073,0.021,NA,33,5,38,8,11,
2014-07-02,"YouGov/The Sun",1991,0.021,NA,35,5,37,8,12,
2014-07-03,"YouGov/The Sun",1611,0.023,NA,35,4,36,8,12,
2014-07-03,Populus,2029,0.021,NA,34,4,35,9,14,
2014-07-03,"Opinium/The Observer",1946,0.021,NA,29,5,35,7,18,
2014-07-04,"YouGov/Sunday Times",2095,0.021,NA,34,5,36,8,13,
2014-07-06,Populus,2053,0.021,NA,31,4,38,9,14,
2014-07-06,"Lord Ashcroft",1005,0.029,NA,27,6,34,11,15,
2014-07-07,"YouGov/The Sun",1650,0.023,NA,34,4,37,9,13,
2014-07-08,"YouGov/The Sun",2072,0.021,NA,31,5,38,8,12,
2014-07-09,"YouGov/The Sun",2034,0.021,NA,32,5,36,10,12,
2014-07-10,"YouGov/The Sun",2022,0.021,NA,34,5,37,8,12,
2014-07-10,Populus,2052,0.021,NA,34,3,36,8,12,
2014-07-11,"YouGov/Sunday Times",1963,0.021,NA,33,4,38,9,12,
2014-07-13,Populus,2055,0.021,NA,34,5,37,9,12,
2014-07-13,"Lord Ashcroft",1000,0.03,NA,32,6,36,7,14,
2014-07-13,"ICM/The Guardian",1000,0.029,NA,34,4,33,12,9,
2014-07-14,"YouGov/The Sun",1745,0.023,NA,35,4,38,8,10,
2014-07-15,"YouGov/The Sun",2072,0.021,NA,34,4,38,6,13,
2014-07-15,"Ipsos MORI",1000,0.03,NA,32,8,35,8,12,
2014-07-16,"YouGov/The Sun",2107,0.02,NA,33,4,36,9,13,
2014-07-17,"YouGov/The Sun",2038,0.021,NA,32,4,39,8,13,
2014-07-17,"TNS BMRB",1191,0.027,NA,29,9,36,7,19,
2014-07-17,Populus,2007,0.021,NA,35,3,35,8,14,
2014-07-17,"Opinium/The Observer",1967,0.021,NA,30,4,34,9,17,
2014-07-18,"YouGov/Sunday Times",2078,0.021,NA,32,5,37,9,13,
2014-07-18,"ComRes/Independent on Sunday, Sunday Mirror",2054,0.02,NA,31,4,34,9,17,
2014-07-20,Populus,2035,0.021,NA,32,4,37,9,13,
2014-07-20,"Lord Ashcroft",1007,0.029,NA,27,7,35,7,17,
2014-07-21,"YouGov/The Sun",2107,0.021,NA,34,4,38,9,11,
2014-07-22,"YouGov/The Sun",1904,0.022,NA,34,5,37,7,14,
2014-07-23,"YouGov/The Sun",1897,0.022,NA,34,4,38,8,12,
2014-07-24,"YouGov/The Sun",2065,0.021,NA,35,4,38,8,11,
2014-07-24,Populus,2035,0.021,NA,35,4,37,9,9,
2014-07-25,"YouGov/Sunday Times",1741,0.023,NA,35,5,36,8,13,
2014-07-27,Populus,2024,0.021,NA,33,4,37,9,12,
2014-07-27,"Lord Ashcroft",1000,0.029,NA,32,6,34,9,14,
2014-07-27,ComRes/Independent,1001,0.029,NA,27,7,33,8,17,
2014-07-28,"YouGov/The Sun",1658,0.023,NA,33,4,39,8,12,
2014-07-29,"YouGov/The Sun",2004,0.021,NA,34,6,35,8,12,
2014-07-30,"YouGov/The Sun",2100,0.021,NA,35,4,37,8,12,
2014-07-31,"YouGov/The Sun",2023,0.021,NA,34,4,38,8,13,
2014-07-31,Populus,2027,0.021,NA,35,4,36,8,13,
2014-08-01,"YouGov/Sunday Times",2083,0.021,NA,35,4,38,7,12,
2014-08-01,"Opinium/The Observer",1979,0.021,NA,32,5,35,7,15,
2014-08-03,Populus,2021,0.021,NA,35,3,37,9,12,
2014-08-03,"Lord Ashcroft",1002,0.029,NA,30,6,33,8,18,
2014-08-04,"YouGov/The Sun",1617,0.024,NA,34,4,38,6,13,
2014-08-05,"YouGov/The Sun",1977,0.021,NA,33,4,38,8,12,
2014-08-06,"YouGov/The Sun",1944,0.021,NA,34,4,37,9,12,
2014-08-07,"YouGov/The Sun",2016,0.021,NA,33,4,38,7,12,
2014-08-07,Populus,2050,0.021,NA,36,3,35,9,11,
2014-08-08,"YouGov/Sunday Times",1943,0.021,NA,33,4,37,8,13,
2014-08-10,"ICM/The Guardian",1002,0.03,NA,31,4,38,12,10,
2014-08-11,"YouGov/The Sun",1676,0.023,NA,33,5,37,8,12,
2014-08-11,Populus,2031,0.021,NA,33,3,37,9,12,
2014-08-11,"Ipsos MORI",1003,0.029,NA,33,7,33,7,13,
2014-08-12,"YouGov/The Sun",1942,0.022,NA,35,4,38,8,11,
2014-08-13,"YouGov/The Sun",2116,0.02,NA,34,4,36,10,12,
2014-08-14,"YouGov/The Sun",1984,0.021,NA,35,5,35,8,12,
2014-08-14,Populus,2018,0.021,NA,32,5,35,9,14,
2014-08-15,"YouGov/Sunday Times",2019,0.021,NA,34,4,38,7,13,
