date,firm,n,sd,source,con,green,lab,ld,ukip,snp
2014-08-15,"Opinium/The Observer",1963,0.021,NA,28,4,32,10,21,
2014-08-17,Populus,2049,0.021,NA,32,3,37,9,14,
2014-08-18,"YouGov/The Sun",1710,0.023,NA,33,4,38,8,12,
2014-08-19,"YouGov/The Sun",2036,0.021,NA,36,3,37,9,12,
2014-08-20,"YouGov/The Sun",2070,0.021,NA,34,4,38,9,11,
2014-08-21,"YouGov/The Sun",2028,0.021,NA,33,5,38,8,12,
2014-08-21,Populus,2065,0.021,NA,33,3,39,9,11,
2014-08-22,"YouGov/Sunday Times",1866,0.022,NA,34,5,36,8,14,
2014-08-22,"ComRes/Sunday Mirror, Independent on Sunday",2058,0.02,NA,32,3,34,8,18,
2014-08-25,Populus,2062,0.021,NA,32,3,38,8,15,
2014-08-26,"YouGov/The Sun",2021,0.021,NA,33,5,37,8,13,
2014-08-27,"YouGov/The Sun",2129,0.02,NA,34,6,35,7,14,
2014-08-28,"YouGov/The Sun",2046,0.021,NA,33,5,36,7,13,
2014-08-28,Populus,2006,0.021,NA,35,5,34,8,13,
2014-08-29,"YouGov/Sunday Times",2010,0.021,NA,32,4,36,7,16,
2014-08-29,"Opinium/The Observer",1974,0.021,NA,30,4,36,7,16,
2014-08-31,Populus,2010,0.021,NA,32,3,36,9,15,
2014-08-31,ComRes/Independent,1001,0.03,NA,28,6,35,9,17,
2014-09-01,"YouGov/The Sun",1704,0.023,NA,34,5,35,7,14,
2014-09-02,"YouGov/The Sun",2068,0.021,NA,32,5,35,8,15,
2014-09-03,"YouGov/The Sun",2103,0.021,NA,33,5,36,7,14,
2014-09-04,"YouGov/The Sun",2043,0.021,NA,32,5,36,7,16,
2014-09-04,Populus,2026,0.021,NA,32,4,38,8,14,
2014-09-05,"YouGov/Sunday Times",1961,0.021,NA,33,4,35,7,15,
2014-09-07,Populus,2058,0.021,NA,34,4,36,9,12,
2014-09-07,"Lord Ashcroft",1001,0.03,NA,28,6,35,8,18,
2014-09-08,"YouGov/The Sun",1724,0.023,NA,31,5,36,8,16,
2014-09-09,YouGov/TheSun,2099,0.021,NA,30,5,36,8,16,
2014-09-09,"Ipsos MORI",1010,0.029,NA,34,6,33,7,15,
2014-09-10,"YouGov/The Sun",2122,0.021,NA,32,5,38,6,14,
2014-09-11,YouGov/TheSun,2068,0.021,NA,31,5,35,7,16,
2014-09-11,Populus,2010,0.021,NA,33,2,37,9,13,
2014-09-11,"Opinium/The Observer",1960,0.021,NA,29,4,37,7,19,
2014-09-12,"YouGov/Sunday Times",1900,0.021,NA,32,6,35,7,15,
2014-09-12,"Survation/Mail on Sunday",1090,0.028,NA,31,3,35,8,19,
2014-09-14,Populus,2052,0.021,NA,34,3,35,9,13,
2014-09-14,"Lord Ashcroft",1004,0.029,NA,33,6,33,9,14,
2014-09-14,"ICM/The Guardian",1002,0.03,NA,33,7,35,10,9,
2014-09-15,"YouGov/The Sun",1703,0.023,NA,31,6,35,7,15,
2014-09-16,"YouGov/The Sun",1977,0.021,NA,34,6,37,7,12,
2014-09-16,"Survation/Bright Blue",1052,0.029,NA,29,4,34,11,18,
2014-09-17,"YouGov/The Sun",2029,0.021,NA,33,5,36,8,13,
2014-09-17,"Lord Ashcroft",8053,0.01,NA,30,5,35,7,19,
2014-09-18,"YouGov/The Sun",2072,0.021,NA,33,5,35,8,14,
2014-09-18,Populus,2268,0.02,NA,32,4,36,9,15,
2014-09-19,"YouGov/Sunday Times",2126,0.02,NA,31,5,36,7,16,
2014-09-21,Populus,2048,0.021,NA,33,4,37,9,12,
2014-09-21,"Lord Ashcroft",1004,0.029,NA,27,6,33,9,17,
2014-09-22,"YouGov/The Sun",1671,0.023,NA,33,5,35,7,14,
2014-09-23,"YouGov/The Sun",2141,0.02,NA,31,5,37,7,15,
2014-09-24,"YouGov/The Sun",2117,0.021,NA,33,5,37,7,13,
2014-09-25,"YouGov/The Sun",1972,0.021,NA,31,5,37,7,13,
2014-09-25,Populus,2034,0.021,NA,33,3,37,9,13,
2014-09-26,"YouGov/Sunday Times",1992,0.021,NA,31,6,36,6,15,
2014-09-26,"Opinium/The Observer",1984,0.021,NA,32,4,34,7,17,
2014-09-26,"ComRes/Sunday Mirror, Independent on Sunday",2003,0.021,NA,29,4,35,7,19,
2014-09-28,Populus,2024,0.021,NA,34,5,36,7,14,
2014-09-28,"Lord Ashcroft",1000,0.029,NA,32,4,32,8,17,
2014-09-28,ComRes/Independent,1007,0.029,NA,29,4,35,10,15,
2014-09-29,"YouGov/The Sun",1715,0.023,NA,31,4,36,7,16,
2014-09-30,"YouGov/The Sun",2106,0.021,NA,31,5,36,7,15,
2014-10-01,"YouGov/The Sun",2068,0.021,NA,31,5,38,7,15,
2014-10-02,"YouGov/The Sun",2133,0.02,NA,35,5,34,6,14,
2014-10-02,Populus,2014,0.021,NA,33,3,38,8,13,
2014-10-03,"YouGov/Sunday Times",2130,0.02,NA,36,5,34,7,13,
2014-10-05,Populus,2037,0.021,NA,31,3,37,8,15,
2014-10-05,"Lord Ashcroft",1002,0.029,NA,32,7,30,7,17,
2014-10-06,"YouGov/The Sun",1739,0.022,NA,35,4,33,8,13,
2014-10-07,"YouGov/The Sun",2155,0.02,NA,32,5,34,8,15,
2014-10-08,"YouGov/The Sun",1862,0.022,NA,33,6,34,7,14,
2014-10-09,"YouGov/The Sun",2049,0.021,NA,30,5,35,9,15,
2014-10-09,Populus,2055,0.021,NA,34,4,35,9,13,
2014-10-09,"Opinium/The Observer",1968,0.021,NA,28,4,35,9,17,
2014-10-09,"Lord Ashcroft",5059,0.013,NA,31,4,34,8,18,
2014-10-10,"YouGov/Sunday Times",2167,0.02,NA,32,5,34,9,16,
2014-10-10,"Survation/Mail on Sunday",1003,0.029,NA,31,2,31,7,25,
2014-10-12,Populus,2067,0.021,NA,35,3,36,9,13,
2014-10-12,"Lord Ashcroft",1001,0.029,NA,28,5,32,8,19,
2014-10-12,"ICM/The Guardian",1001,0.03,NA,31,4,35,11,14,
2014-10-13,"YouGov/The Sun",1782,0.022,NA,31,4,34,7,17,
2014-10-14,"YouGov/The Sun",2144,0.02,NA,30,5,34,8,18,
2014-10-14,"Ipsos MORI/Evening Standard",1002,0.029,NA,30,5,33,8,16,
2014-10-15,"YouGov/The Sun",2133,0.02,NA,31,5,33,7,19,
2014-10-16,"YouGov/The Sun",2045,0.02,NA,31,7,32,8,18,
2014-10-16,Populus,2031,0.021,NA,33,4,35,10,14,
2014-10-16,"ComRes/Sunday Mirror, Independent on Sunday",1004,0.029,NA,31,4,34,7,19,
2014-10-17,"YouGov/Sunday Times",1966,0.021,NA,32,5,35,7,16,
2014-10-19,Populus,2058,0.021,NA,34,3,36,9,13,
2014-10-19,"Lord Ashcroft",1000,0.029,NA,28,8,31,7,18,
2014-10-20,"YouGov/The Sun",1727,0.022,NA,31,6,33,7,15,
2014-10-21,"YouGov/The Sun",2103,0.02,NA,32,5,33,8,16,
2014-10-22,"YouGov/The Sun",2052,0.02,NA,31,6,33,7,17,
2014-10-23,"YouGov/The Sun",2020,0.021,NA,34,6,34,6,15,
2014-10-23,Populus,2029,0.021,NA,33,3,35,9,15,
2014-10-24,"YouGov/Sunday Times",2069,0.02,NA,33,6,33,7,16,
2014-10-24,"Opinium/The Observer",1972,0.021,NA,33,4,33,6,18,
2014-10-26,Populus,2004,0.021,NA,34,3,36,8,13,
2014-10-26,"Lord Ashcroft",1003,0.029,NA,31,5,31,7,18,
2014-10-26,"ComRes/The Independent",1002,0.028,NA,30,4,30,9,19,
2014-10-27,"YouGov/The Sun",1629,0.023,NA,32,6,32,8,18,
2014-10-28,"YouGov/The Sun",2052,0.02,NA,32,5,33,8,17,
2014-10-29,"YouGov/The Sun",1972,0.021,NA,31,7,34,6,17,
2014-10-30,"YouGov/The Sun",1883,0.021,NA,33,7,32,7,15,
2014-10-30,Populus,2035,0.021,NA,34,5,34,8,15,
2014-10-31,"YouGov/Sunday Times",1808,0.022,NA,31,6,32,7,18,
2014-11-01,"Survation/The Mirror",2012,0.02,NA,27,3,31,9,24,
2014-11-02,Populus,2019,0.021,NA,34,4,35,9,13,
2014-11-02,"Lord Ashcroft",1002,0.028,NA,30,6,29,10,16,
2014-11-03,"YouGov/The Sun",1652,0.023,NA,33,5,34,8,15,
2014-11-04,"YouGov/The Sun",1988,0.021,NA,32,6,34,7,15,
2014-11-05,"YouGov/The Sun",2047,0.02,NA,32,7,33,7,17,
2014-11-06,"YouGov/The Sun",2041,0.02,NA,32,7,33,8,15,
2014-11-06,Populus,2011,0.021,NA,33,4,35,9,14,
2014-11-07,"YouGov/Sunday Times",2022,0.02,NA,33,6,33,7,16,
2014-11-07,"Survation/Mail on Sunday",1020,0.029,NA,29,4,34,6,23,
2014-11-07,"Opinium/The Observer",1980,0.021,NA,29,4,32,9,19,
2014-11-09,Populus,2047,0.021,NA,34,4,36,8,13,
2014-11-09,"Lord Ashcroft",1005,0.028,NA,30,7,29,10,16,
2014-11-09,"ICM/The Guardian",1002,0.029,NA,31,6,32,11,14,
2014-11-10,"YouGov/The Sun",1656,0.023,NA,32,6,33,6,17,
2014-11-10,"Ipsos MORI/Evening Standard",1011,0.029,NA,32,7,29,9,14,
2014-11-11,"YouGov/The Sun",2143,0.02,NA,33,6,34,7,15,
2014-11-12,"YouGov/The Sun",1972,0.021,NA,32,6,35,7,15,
2014-11-13,"YouGov/The Sun",2003,0.021,NA,33,6,32,8,15,
2014-11-13,Populus,2052,0.021,NA,33,4,35,9,13,
2014-11-14,"YouGov/Sunday Times",1975,0.021,NA,31,5,33,7,18,
2014-11-14,"ComRes/Independent on Sunday, Sunday Mirror",2000,0.021,NA,30,3,34,8,19,
2014-11-16,Populus,2054,0.021,NA,35,5,36,7,11,
2014-11-16,"Lord Ashcroft",1004,0.028,NA,29,7,30,9,16,
2014-11-17,"YouGov/The Sun",1589,0.023,NA,33,8,32,7,15,
2014-11-17,Opinium,1947,0.021,NA,34,5,33,5,18,
2014-11-18,"YouGov/The Sun",1975,0.021,NA,32,6,34,7,15,
2014-11-19,"YouGov/The Sun",1906,0.021,NA,34,6,33,7,14,
2014-11-20,"YouGov/The Sun",1995,0.021,NA,34,6,33,7,15,
2014-11-20,Populus,2013,0.021,NA,33,4,36,9,14,
2014-11-20,"Opinium/The Observer",1948,0.021,NA,30,4,33,7,19,
2014-11-21,"YouGov/The Sun on Sunday",2314,0.019,NA,33,5,34,8,15,
2014-11-21,"YouGov/Sunday Times",1970,0.021,NA,33,6,33,7,16,
2014-11-23,Populus,2049,0.021,NA,31,5,36,9,15,
2014-11-23,"Lord Ashcroft",1004,0.029,NA,27,7,32,7,18,
2014-11-24,"YouGov/The Sun",1641,0.023,NA,30,6,34,6,18,
2014-11-24,"Lord Ashcroft",20011,0.007,NA,30,6,33,7,19,
2014-11-25,"YouGov/The Sun",1890,0.021,NA,32,6,33,7,16,
2014-11-26,"YouGov/The Sun",2067,0.02,NA,33,7,32,6,16,
2014-11-27,"YouGov/The Sun",1970,0.02,NA,31,6,31,8,17,
2014-11-27,TNS,1194,0.026,NA,30,6,31,6,19,
2014-11-27,Populus,2048,0.021,NA,32,4,37,9,14,
2014-11-28,"YouGov/Sunday Times",2018,0.021,NA,32,6,34,7,15,
2014-11-30,Populus,2053,0.021,NA,32,5,35,9,14,
2014-11-30,"Lord Ashcroft",1003,0.029,NA,30,6,32,7,16,
2014-11-30,"ComRes/The Independent",1005,0.029,NA,28,7,31,9,18,
2014-12-01,"YouGov/The Sun",1763,0.022,NA,32,6,32,8,15,
2014-12-02,"YouGov/The Sun",1912,0.021,NA,32,7,33,7,16,
2014-12-03,"YouGov/The Sun",1925,0.021,NA,32,7,31,6,17,
2014-12-04,"YouGov/The Sun",1663,0.022,NA,31,8,32,7,15,
2014-12-04,Populus,1271,0.026,NA,33,4,35,9,14,
2014-12-04,"Opinium/The Observer",1940,0.021,NA,29,6,34,6,19,
2014-12-05,YouGov/SundayTimes,1838,0.021,NA,32,7,32,6,17,
2014-12-07,Populus,1323,0.026,NA,33,4,36,8,15,
2014-12-07,"Lord Ashcroft",1001,0.029,NA,30,5,31,8,19,
2014-12-08,"YouGov/The Sun",1925,0.021,NA,34,6,33,6,15,
2014-12-09,"YouGov/The Sun",1959,0.021,NA,32,7,32,8,15,
2014-12-10,"YouGov/The Sun",1983,0.021,NA,33,7,33,6,15,
2014-12-11,"YouGov/The Sun",2088,0.02,NA,32,7,34,7,14,
2014-12-11,Populus,1140,0.028,NA,34,4,35,9,14,
2014-12-12,"YouGov/Sunday Times",1941,0.021,NA,32,7,32,7,16,
2014-12-12,"ComRes/Sunday Mirror/Independent on Sunday",2014,0.021,NA,33,2,34,8,18,
2014-12-14,Populus,2074,0.021,NA,34,5,36,10,12,
2014-12-14,"ComRes/The Independent",1002,0.029,NA,29,5,32,12,16,
2014-12-15,"YouGov/The Sun",1648,0.023,NA,32,8,34,6,14,
2014-12-15,TNS,1180,0.027,NA,28,7,35,5,19,
2014-12-15,"Ipsos Mori/Evening Standard",1012,0.029,NA,32,9,29,9,13,
2014-12-16,"YouGov/The Sun",2021,0.021,NA,33,6,34,6,16,
2014-12-16,"ICM/The Guardian",1001,0.029,NA,28,5,33,14,14,
2014-12-17,"YouGov/The Sun",2087,0.02,NA,33,7,33,8,14,
2014-12-18,"YouGov/The Sun",1981,0.021,NA,30,8,35,6,16,
2014-12-18,Populus,2069,0.021,NA,34,4,35,9,13,
2014-12-19,"YouGov/Sunday Times",2109,0.02,NA,32,8,34,6,15,
2014-12-19,"Survation/Daily Mirror",1009,0.029,NA,30,3,33,10,21,
2014-12-19,"Opinium/The Observer",1427,0.025,NA,29,5,36,6,16,
2014-12-21,Populus,2051,0.021,NA,35,4,35,9,12,
2014-12-22,"YouGov/The Sun",1642,0.023,NA,32,5,36,6,16,
2014-12-23,"Opinium/The Observer",2003,0.021,NA,29,6,33,6,19,
2015-01-02,"Opinium/The Observer",1970,0.021,NA,32,4,33,8,17,
2015-01-04,Populus,2046,0.021,NA,34,5,36,9,12,
2015-01-05,"YouGov/The Sun",1728,0.022,NA,31,8,34,7,14,
2015-01-06,"YouGov/The Sun",1769,0.022,NA,33,8,33,7,13,
2015-01-07,"YouGov/The Sun",1707,0.022,NA,32,7,33,7,15,
2015-01-08,"YouGov/The Sun",1753,0.022,NA,33,7,33,8,13,
2015-01-08,TNS,1201,0.027,NA,28,5,35,6,18,
2015-01-08,Populus,2046,0.021,NA,33,6,34,8,14,
2015-01-09,"YouGov/Sunday Times",1684,0.022,NA,32,6,32,7,18,
2015-01-11,Populus,2056,0.021,NA,32,4,37,10,13,
2015-01-11,"Lord Ashcroft",1002,0.029,NA,34,8,28,8,16,
2015-01-12,"YouGov/The Sun",1649,0.023,NA,32,6,33,6,17,
2015-01-13,"YouGov/The Sun",1782,0.022,NA,32,7,33,7,14,
2015-01-13,"Ipsos MORI/Evening Standard",1010,0.029,NA,33,8,34,8,11,
2015-01-14,"YouGov/The Sun",1834,0.022,NA,32,7,34,6,15,
2015-01-15,"YouGov/The Sun",1660,0.022,NA,32,8,32,6,16,
2015-01-15,"YouGov/Sun on Sunday",1763,0.022,NA,31,7,33,7,16,
2015-01-15,Populus,2070,0.021,NA,32,6,35,9,14,
2015-01-15,"Opinium/The Observer",1966,0.021,NA,28,6,33,7,20,
2015-01-15,"ComRes/Sunday Mirror, Independent on Sunday",2023,0.021,NA,33,3,34,7,18,
2015-01-16,"YouGov/Sunday Times",1647,0.023,NA,31,7,32,7,18,
2015-01-18,Populus,2036,0.021,NA,35,4,36,8,13,
2015-01-18,"Lord Ashcroft",1004,0.028,NA,29,11,28,9,15,
2015-01-19,"YouGov/The Sun",1747,0.022,NA,32,7,32,8,15,
2015-01-19,TNS,1188,0.026,NA,31,7,31,8,16,
2015-01-19,"ICM/The Guardian",1002,0.029,NA,30,9,33,11,11,
2015-01-20,"YouGov/The Sun",1570,0.023,NA,32,10,30,8,15,
2015-01-21,"YouGov/The Sun",1645,0.023,NA,33,8,34,6,14,
2015-01-22,"YouGov/The Sun",1640,0.023,NA,31,8,33,7,17,
2015-01-22,Populus,2049,0.021,NA,32,6,36,9,13,
2015-01-23,"YouGov/Sunday Times",1578,0.023,NA,32,7,32,7,15,
2015-01-25,"Survation/Daily Mirror",1014,0.028,NA,31,3,30,7,23,
2015-01-25,Populus,2039,0.021,NA,34,6,35,9,13,
2015-01-25,"Lord Ashcroft",1001,0.029,NA,32,9,32,6,15,
2015-01-25,"ComRes/The Independent",1001,0.029,NA,31,7,30,8,17,
2015-01-26,"YouGov/The Sun",1656,0.023,NA,34,7,33,6,15,
2015-01-26,"TNS-BMRB/BBC Radio 4 Woman's Hour",975,0.031,NA,28,8,39,4,14,
2015-01-27,"YouGov/The Sun",1655,0.023,NA,34,7,33,7,14,
2015-01-28,"YouGov/The Sun",1548,0.023,NA,33,7,33,6,16,
2015-01-29,"YouGov/The Sun",1593,0.023,NA,34,7,34,6,14,
2015-01-29,Populus,2020,0.021,NA,34,4,35,10,14,
2015-01-30,"YouGov/Sunday Times",1550,0.024,NA,32,6,35,7,15,
2015-01-30,"Opinium/The Observer",1975,0.021,NA,32,6,33,5,18,
2015-02-01,"Lord Ashcroft",1002,0.029,NA,31,9,31,8,15,
2015-02-02,"YouGov/The Sun",1630,0.023,NA,33,6,35,7,14,
2015-02-02,TNS,1182,0.027,NA,27,8,33,6,18,
2015-02-02,Populus,2040,0.021,NA,31,5,34,8,14,
2015-02-03,"YouGov/The Sun",1705,0.022,NA,33,7,33,7,14,
2015-02-04,"YouGov/The Sun",1749,0.022,NA,34,7,33,6,13,
2015-02-05,"YouGov/The Sun",1719,0.022,NA,32,5,33,9,15,
2015-02-05,Populus,2056,0.02,NA,31,5,34,8,16,
2015-02-06,"YouGov/Sunday Times",1668,0.023,NA,32,8,33,7,15,
2015-02-06,"Opinium/The Observer",1947,0.021,NA,32,8,34,7,15,
2015-02-08,Populus,2003,0.021,NA,33,4,34,8,15,
2015-02-08,"Lord Ashcroft",1003,0.029,NA,34,6,31,9,14,
2015-02-09,"YouGov/The Sun",1552,0.024,NA,34,7,33,7,14,
2015-02-10,"YouGov/The Sun",1677,0.023,NA,33,8,35,6,13,
2015-02-10,"Ipsos MORI/Evening Standard",1010,0.03,NA,34,7,36,6,9,
2015-02-11,"YouGov/The Sun",1764,0.022,NA,32,7,33,7,15,
2015-02-12,"YouGov/The Sun",1592,0.023,NA,31,7,34,7,15,
2015-02-12,Populus,2055,0.02,NA,31,6,34,9,14,
2015-02-12,"Opinium/The Observer",1969,0.021,NA,33,6,35,8,14,
2015-02-12,"ComRes/Sunday Mirror, Independent on Sunday",2017,0.021,NA,32,4,34,7,16,
2015-02-13,"YouGov/Sunday Times",1620,0.023,NA,32,7,35,7,15,
2015-02-15,Populus,2012,0.021,NA,31,5,33,10,15,
2015-02-15,"Lord Ashcroft",1004,0.029,NA,30,8,31,9,16,
2015-02-15,"ICM/The Guardian",1000,0.03,NA,36,7,32,10,9,
2015-02-16,"YouGov/The Sun",1580,0.023,NA,32,8,32,6,16,
2015-02-16,TNS,1193,0.027,NA,28,7,35,6,18,
2015-02-17,"YouGov/The Sun",1548,0.024,NA,33,7,34,6,15,
2015-02-18,"YouGov/The Sun",1743,0.022,NA,32,6,34,8,14,
2015-02-19,"YouGov/The Sun",1564,0.023,NA,32,6,33,9,15,
2015-02-19,Populus,2011,0.02,NA,31,6,32,9,17,
2015-02-20,"YouGov/Sunday Times",1568,0.023,NA,33,6,34,8,13,
2015-02-20,"Opinium/The Observer",1975,0.021,NA,35,7,33,6,15,
2015-02-22,Populus,2059,0.02,NA,32,6,32,9,15,
2015-02-22,"Lord Ashcroft",1004,0.03,NA,32,8,36,7,11,
2015-02-23,"YouGov/The Sun",1772,0.022,NA,33,7,33,8,13,
2015-02-23,"Survation/Daily Mirror",1046,0.029,NA,28,4,34,10,19,
2015-02-23,"ComRes/Daily Mail",1004,0.029,NA,34,8,32,8,13,
2015-02-24,"YouGov/The Sun",1520,0.024,NA,35,7,33,6,14,
2015-02-25,"YouGov/The Sun",1581,0.023,NA,33,6,33,8,15,
2015-02-26,"YouGov/The Sun",1638,0.023,NA,33,6,34,8,13,
2015-02-26,"Opinium/The Observer",1948,0.021,NA,34,6,35,6,14,
2015-02-27,"YouGov/Sunday Times",1959,0.021,NA,34,5,34,8,14,
2015-02-27,Populus,2005,0.021,NA,31,6,33,9,16,
2015-03-01,Populus,2056,0.02,NA,32,5,34,8,14,
2015-03-01,"Lord Ashcroft",1003,0.029,NA,34,7,31,7,14,
2015-03-02,"YouGov/The Sun",1866,0.022,NA,35,6,32,7,15,
2015-03-03,"YouGov/The Sun",1701,0.023,NA,36,6,34,5,14,
2015-03-04,"YouGov/The Sun",1544,0.024,NA,34,6,34,8,14,
2015-03-05,"YouGov/The Sun",1748,0.022,NA,31,8,35,6,15,
2015-03-05,Populus,2063,0.02,NA,31,5,33,8,16,
2015-03-06,"YouGov/Sunday Times",1754,0.022,NA,34,5,33,8,15,
2015-03-06,"Opinium/The Observer",1961,0.021,NA,34,7,34,8,14,
2015-03-08,Populus,2026,0.02,NA,32,6,33,9,15,
2015-03-08,"Lord Ashcroft",1003,0.029,NA,34,8,30,5,15,
2015-03-09,"YouGov/The Sun",1745,0.022,NA,35,6,31,8,14,
2015-03-10,"YouGov/The Sun",1598,0.023,NA,33,6,31,8,15,
2015-03-11,"YouGov/The Sun",1728,0.022,NA,34,5,35,7,14,
2015-03-11,"Ipsos MORI/Evening Standard",1025,0.029,NA,33,6,34,8,13,
2015-03-12,"YouGov/The Sun",1619,0.023,NA,33,6,32,7,16,
2015-03-12,Populus,2041,0.02,NA,29,6,32,8,18,
2015-03-12,"Opinium/The Observer",1947,0.021,NA,33,7,35,7,14,
2015-03-13,"YouGov/Sunday Times",1669,0.023,NA,34,5,34,7,14,
2015-03-13,"ComRes/Sunday Mirror, Independent on Sunday",2002,0.021,NA,33,4,35,7,16,
2015-03-15,Populus,2041,0.021,NA,34,5,34,8,15,
2015-03-15,"Lord Ashcroft",1002,0.029,NA,31,8,29,8,15,
2015-03-15,"ICM/The Guardian",1001,0.03,NA,36,4,35,8,9,
2015-03-16,"YouGov/The Sun",1683,0.023,NA,33,7,35,7,13,
2015-03-16,TNS,1188,0.027,NA,33,4,32,7,17,
2015-03-17,"YouGov/The Sun",1830,0.022,NA,34,6,36,7,12,
2015-03-18,"YouGov/The Sun",1752,0.022,NA,33,6,34,8,14,
2015-03-19,"YouGov/The Sun",2293,0.02,NA,35,6,33,8,13,
2015-03-19,Populus,2020,0.021,NA,31,5,34,9,17,
